Sex,Year,Source,MortalityType,Value,Target,Bridge
Female,2008,Total,Dementia,103538.6698,Other,Mental and behavioural disorders
Male,2004,Total,Certain infectious and parasitic diseases,103375.1079,Other,Other
Male,2000,Total,Certain infectious and parasitic diseases,102857.1588,Other,Other
Female,2020,Total,Accidents,102725.114,External causes of mortality,External causes of mortality
Total,2003,Total,Malignant neoplasms of liver,102512.4388,Neoplasms,Malignant neoplasms
Male,2004,Total,Malignant neoplasms of stomach,102427.6091,Neoplasms,Malignant neoplasms
Male,2007,Total,Mental and behavioural disorders,102382.171,Other,Other
Male,2020,Total,"Malignant neoplasms of colon, rectum and anus",102140.1668,Neoplasms,Malignant neoplasms
Female,2007,Total,Mental and behavioural disorders,102105.5617,Other,Other
Total,2004,Total,Malignant neoplasms of liver,102044.3529,Neoplasms,Malignant neoplasms
Male,2009,Total,Intentional self-harm,102007.0429,External causes of mortality,External causes of mortality
Total,2008,Total,Malignant neoplasms of liver,101970.3112,Neoplasms,Malignant neoplasms
Male,2010,Total,Intentional self-harm,101787.7543,External causes of mortality,External causes of mortality
Male,2012,Total,Chronic liver diseases and cirrhosis,101528.0294,Other,Diseases of the digestive system
Total,2010,Total,Transport Accidents,101209.6621,External causes of mortality,External causes of mortality
Male,2011,Total,Intentional self-harm,101186.476,External causes of mortality,External causes of mortality
Total,2006,Total,Malignant neoplasms of liver,101092.434,Neoplasms,Malignant neoplasms
Female,2014,Total,Diseases of the genitourinary system,100997.8211,Other,Other
Total,2017,Total,Malignant neoplasms of liver,100822.63,Neoplasms,Malignant neoplasms
Male,2013,Total,Chronic liver diseases and cirrhosis,100804.5899,Other,Diseases of the digestive system
Male,2011,Total,Chronic liver diseases and cirrhosis,100745.0604,Other,Diseases of the digestive system
Female,2010,Total,Diseases of the genitourinary system,100733.3957,Other,Other
Total,2007,Total,Malignant neoplasms of liver,100674.5809,Neoplasms,Malignant neoplasms
Male,2017,Total,Chronic liver diseases and cirrhosis,100674.0703,Other,Diseases of the digestive system
Female,2001,Total,"Malignant neoplasms of colon, rectum and anus",100609.8945,Neoplasms,Malignant neoplasms
Male,2006,Total,Mental and behavioural disorders,100581.3549,Other,Other
Female,2019,Total,Diseases of the genitourinary system,100566.1342,Other,Other
Female,2003,Total,"Malignant neoplasms of colon, rectum and anus",100361.3223,Neoplasms,Malignant neoplasms
Male,2013,Total,Intentional self-harm,100262.4609,External causes of mortality,External causes of mortality
Male,2000,Total,Transport Accidents,100221.3557,External causes of mortality,External causes of mortality
Female,2013,Total,Alzheimer's disease,100192.1883,Other,Diseases of the nervous system
Total,2017,Total,Malignant neoplasms of stomach,100137.0217,Neoplasms,Malignant neoplasms
Female,2002,Total,"Malignant neoplasms of colon, rectum and anus",99945.04241,Neoplasms,Malignant neoplasms
Male,2020,Total,Dementia,99879.17967,Other,Mental and behavioural disorders
Female,2006,Total,Mental and behavioural disorders,99768.39248,Other,Other
Female,2000,Total,Diseases of the nervous system,99524.24951,Other,Other
Male,2012,Total,Intentional self-harm,99515.14843,External causes of mortality,External causes of mortality
Male,2014,Total,Chronic liver diseases and cirrhosis,99403.67588,Other,Diseases of the digestive system
Total,2005,Total,Malignant neoplasms of liver,99394.35565,Neoplasms,Malignant neoplasms
Male,2015,Total,Chronic liver diseases and cirrhosis,99146.47908,Other,Diseases of the digestive system
Total,2002,Total,Malignant neoplasms of liver,99111.39267,Neoplasms,Malignant neoplasms
Female,2013,Total,Diseases of the genitourinary system,98974.04445,Other,Other
Male,2001,Total,Transport Accidents,98916.25811,External causes of mortality,External causes of mortality
Female,2020,Total,Malignant neoplasms of female breast,98870.1899,Neoplasms,Malignant neoplasms
Male,2003,Total,Intentional self-harm,98832.78584,External causes of mortality,External causes of mortality
Female,2012,Total,Diseases of the genitourinary system,98773.79601,Other,Other
Male,2014,Total,Intentional self-harm,98755.93114,External causes of mortality,External causes of mortality
Total,2011,Total,Transport Accidents,98250.63928,External causes of mortality,External causes of mortality
Total,2016,Total,Transport Accidents,98120.79425,External causes of mortality,External causes of mortality
Male,2002,Total,Transport Accidents,98000.64916,External causes of mortality,External causes of mortality
Male,2005,Total,Malignant neoplasms of stomach,97733.0041,Neoplasms,Malignant neoplasms
Female,2012,Total,Alzheimer's disease,97497.50494,Other,Diseases of the nervous system
Total,2001,Total,Alzheimer's disease,97399.28385,Other,Diseases of the nervous system
Female,2004,Total,"Malignant neoplasms of colon, rectum and anus",97317.27336,Neoplasms,Malignant neoplasms
Male,2015,Total,Intentional self-harm,97163.99887,External causes of mortality,External causes of mortality
Total,2012,Total,Transport Accidents,97107.0471,External causes of mortality,External causes of mortality
Female,2009,Total,Diseases of the genitourinary system,97083.94528,Other,Other
Male,2020,Total,Chronic liver diseases and cirrhosis,97060.1448,Other,Diseases of the digestive system
Male,2008,Total,Intentional self-harm,96930.91075,External causes of mortality,External causes of mortality
Male,2004,Total,Intentional self-harm,96658.40754,External causes of mortality,External causes of mortality
Male,2006,Total,Malignant neoplasms of stomach,96656.00469,Neoplasms,Malignant neoplasms
Female,2017,Total,Diseases of the genitourinary system,96521.44205,Other,Other
Total,2016,Total,Accidental falls,96444.52039,External causes of mortality,External causes of mortality
Female,2011,Total,Diseases of the genitourinary system,96413.72538,Other,Other
Total,2001,Total,Malignant neoplasms of liver,96351.27315,Neoplasms,Malignant neoplasms
Male,2019,Total,Chronic liver diseases and cirrhosis,96310.14114,Other,Diseases of the digestive system
Male,2017,Total,Certain infectious and parasitic diseases,96250.76031,Other,Other
Total,2015,Total,Transport Accidents,96218.32447,External causes of mortality,External causes of mortality
Female,2000,Total,"Malignant neoplasms of colon, rectum and anus",95964.07806,Neoplasms,Malignant neoplasms
Male,2009,Total,Malignant neoplasms of stomach,95908.73581,Neoplasms,Malignant neoplasms
Male,2007,Total,Malignant neoplasms of stomach,95780.07454,Neoplasms,Malignant neoplasms
Female,2010,Total,"Malignant neoplasms of colon, rectum and anus",95698.72631,Neoplasms,Malignant neoplasms
Male,2002,Total,Intentional self-harm,95620.13722,External causes of mortality,External causes of mortality
Male,2003,Total,Transport Accidents,95522.45078,External causes of mortality,External causes of mortality
Female,2007,Total,"Malignant neoplasms of colon, rectum and anus",95480.93651,Neoplasms,Malignant neoplasms
Female,2012,Total,"Malignant neoplasms of colon, rectum and anus",95474.61651,Neoplasms,Malignant neoplasms
Total,2013,Total,Transport Accidents,95347.03295,External causes of mortality,External causes of mortality
Female,2009,Total,"Malignant neoplasms of colon, rectum and anus",95337.3353,Neoplasms,Malignant neoplasms
Male,2016,Total,Intentional self-harm,95289.51004,External causes of mortality,External causes of mortality
Male,2018,Total,Chronic liver diseases and cirrhosis,95254.49679,Other,Diseases of the digestive system
Female,2020,Total,Pneumonia,95198.56127,Other,Other
Total,2000,Total,Malignant neoplasms of liver,95008.30773,Neoplasms,Malignant neoplasms
Male,2005,Total,Intentional self-harm,94981.02248,External causes of mortality,External causes of mortality
Female,2011,Total,"Malignant neoplasms of colon, rectum and anus",94909.64568,Neoplasms,Malignant neoplasms
Female,2008,Total,"Malignant neoplasms of colon, rectum and anus",94861.80838,Neoplasms,Malignant neoplasms
Female,2013,Total,"Malignant neoplasms of colon, rectum and anus",94817.24231,Neoplasms,Malignant neoplasms
Male,2019,Total,Certain infectious and parasitic diseases,94787.60157,Other,Other
Male,2010,Total,Malignant neoplasms of stomach,94669.65417,Neoplasms,Malignant neoplasms
Total,2014,Total,Transport Accidents,94544.2898,External causes of mortality,External causes of mortality
Female,2005,Total,"Malignant neoplasms of colon, rectum and anus",94468.22399,Neoplasms,Malignant neoplasms
Female,2006,Total,"Malignant neoplasms of colon, rectum and anus",94389.37744,Neoplasms,Malignant neoplasms
Male,2007,Total,Intentional self-harm,94125.58576,External causes of mortality,External causes of mortality
Female,2014,Total,"Malignant neoplasms of colon, rectum and anus",94112.45736,Neoplasms,Malignant neoplasms
Total,2015,Total,Accidental falls,94096.34091,External causes of mortality,External causes of mortality
Male,2010,Total,Dementia,93633.59108,Other,Mental and behavioural disorders
Female,2016,Total,"Malignant neoplasms of colon, rectum and anus",93594.75413,Neoplasms,Malignant neoplasms
Male,2001,Total,Intentional self-harm,93511.31053,External causes of mortality,External causes of mortality
Male,2017,Total,Intentional self-harm,93274.59129,External causes of mortality,External causes of mortality
Male,2016,Total,Alzheimer's disease,93136.01246,Other,Diseases of the nervous system
Male,2006,Total,Intentional self-harm,93002.79292,External causes of mortality,External causes of mortality
Total,2014,Total,Accidental falls,92953.06739,External causes of mortality,External causes of mortality
Female,2015,Total,"Malignant neoplasms of colon, rectum and anus",92949.23333,Neoplasms,Malignant neoplasms
Male,2008,Total,Malignant neoplasms of stomach,92864.89103,Neoplasms,Malignant neoplasms
Total,2019,Total,Malignant neoplasms of stomach,92772.74936,Neoplasms,Malignant neoplasms
Male,2004,Total,Transport Accidents,91583.07336,External causes of mortality,External causes of mortality
Female,2008,Total,Diseases of the genitourinary system,91427.33899,Other,Other
Female,2011,Total,Alzheimer's disease,91244.71304,Other,Diseases of the nervous system
Female,2007,Total,Diseases of the genitourinary system,91233.19816,Other,Other
Male,2011,Total,Malignant neoplasms of stomach,91143.30102,Neoplasms,Malignant neoplasms
Female,2007,Total,Dementia,91050.98738,Other,Mental and behavioural disorders
Total,2017,Total,Accidental falls,90643.43295,External causes of mortality,External causes of mortality
Male,2005,Total,Mental and behavioural disorders,90551.05372,Other,Other
Total,2019,Total,Accidental falls,90543.46369,External causes of mortality,External causes of mortality
Male,2000,Total,Intentional self-harm,90462.63048,External causes of mortality,External causes of mortality
Female,2018,Total,Diseases of the genitourinary system,90418.40046,Other,Other
Total,2013,Total,Accidental falls,90346.45134,External causes of mortality,External causes of mortality
Male,2005,Total,Transport Accidents,90020.978,External causes of mortality,External causes of mortality
Male,2003,Total,Mental and behavioural disorders,89666.90219,Other,Other
Female,2017,Total,"Malignant neoplasms of colon, rectum and anus",89663.19007,Neoplasms,Malignant neoplasms
Male,2015,Total,Alzheimer's disease,89653.42403,Other,Diseases of the nervous system
Male,2018,Total,Certain infectious and parasitic diseases,89632.32546,Other,Other
Female,2006,Total,Diseases of the genitourinary system,89437.77642,Other,Other
Total,2019,Total,Malignant neoplasms of liver,89428.25262,Neoplasms,Malignant neoplasms
Total,2017,Total,Transport Accidents,88972.41712,External causes of mortality,External causes of mortality
Male,2012,Total,Malignant neoplasms of stomach,88787.6547,Neoplasms,Malignant neoplasms
Male,2002,Total,Mental and behavioural disorders,88701.97305,Other,Other
Female,2010,Total,Alzheimer's disease,88584.83232,Other,Diseases of the nervous system
Total,2018,Total,Malignant neoplasms of stomach,88510.75049,Neoplasms,Malignant neoplasms
Male,2006,Total,Transport Accidents,88336.90336,External causes of mortality,External causes of mortality
Female,2006,Total,Dementia,88276.54189,Other,Mental and behavioural disorders
Total,2018,Total,Malignant neoplasms of liver,88025.10968,Neoplasms,Malignant neoplasms
Male,2018,Total,Intentional self-harm,87882.84812,External causes of mortality,External causes of mortality
Male,2019,Total,Intentional self-harm,87604.78242,External causes of mortality,External causes of mortality
Male,2013,Total,Malignant neoplasms of stomach,87576.39159,Neoplasms,Malignant neoplasms
Total,2020,Total,Accidental poisoning,87429.22007,External causes of mortality,External causes of mortality
Male,2019,Total,Alzheimer's disease,87262.81501,Other,Diseases of the nervous system
Female,2020,Total,Diseases of the genitourinary system,87187.10809,Other,Other
Male,2001,Total,Mental and behavioural disorders,87072.2645,Other,Other
Male,2004,Total,Mental and behavioural disorders,87004.32735,Other,Other
Female,2005,Total,Diseases of the genitourinary system,86971.60195,Other,Other
Male,2009,Total,Dementia,86849.90185,Other,Mental and behavioural disorders
Female,2005,Total,Mental and behavioural disorders,86484.55301,Other,Other
Male,2007,Total,Transport Accidents,86035.16164,External causes of mortality,External causes of mortality
Female,2021,Total,Diseases of the circulatory system,85784.86233,Diseases of the circulatory system,Other
Female,2003,Total,Diseases of the genitourinary system,85700.27787,Other,Other
Male,2014,Total,Malignant neoplasms of stomach,85616.50514,Neoplasms,Malignant neoplasms
Total,2000,Total,Alzheimer's disease,85556.51768,Other,Diseases of the nervous system
Total,2012,Total,Accidental falls,85526.46925,External causes of mortality,External causes of mortality
Total,2018,Total,Accidental falls,85248.22027,External causes of mortality,External causes of mortality
Female,2003,Total,Mental and behavioural disorders,84812.73385,Other,Other
Female,2004,Total,Diseases of the genitourinary system,84325.38553,Other,Other
Total,2019,Total,Transport Accidents,84051.46764,External causes of mortality,External causes of mortality
Female,2009,Total,Alzheimer's disease,83489.21453,Other,Diseases of the nervous system
Female,2015,Total,Certain infectious and parasitic diseases,83151.81233,Other,Other
Male,2008,Total,Dementia,83015.67073,Other,Mental and behavioural disorders
Male,2016,Total,Malignant neoplasms of pancreas,82933.75677,Neoplasms,Malignant neoplasms
Female,2002,Total,Diseases of the genitourinary system,82927.28128,Other,Other
Total,2011,Total,Accidental falls,82834.06357,External causes of mortality,External causes of mortality
Male,2008,Total,Transport Accidents,82699.45488,External causes of mortality,External causes of mortality
Male,2015,Total,Malignant neoplasms of stomach,82509.21939,Neoplasms,Malignant neoplasms
Female,2001,Total,Diseases of the genitourinary system,82306.54757,Other,Other
Female,2004,Total,Mental and behavioural disorders,82262.72067,Other,Other
Female,2002,Total,Mental and behavioural disorders,82122.93497,Other,Other
Female,2013,Total,Certain infectious and parasitic diseases,81877.48851,Other,Other
Total,2010,Total,Accidental falls,81867.47625,External causes of mortality,External causes of mortality
Total,2018,Total,Transport Accidents,81834.24337,External causes of mortality,External causes of mortality
Male,2014,Total,Alzheimer's disease,81252.50322,Other,Diseases of the nervous system
Total,2020,Total,Malignant neoplasms of liver,81238.10485,Neoplasms,Malignant neoplasms
Female,2012,Total,Certain infectious and parasitic diseases,81200.65372,Other,Other
Female,2014,Total,Certain infectious and parasitic diseases,81030.9259,Other,Other
Total,2020,Total,Accidental falls,81017.03892,External causes of mortality,External causes of mortality
Male,2014,Total,Malignant neoplasms of pancreas,80960.19422,Neoplasms,Malignant neoplasms
Male,2009,Total,Transport Accidents,80898.18552,External causes of mortality,External causes of mortality
Male,2017,Total,Alzheimer's disease,80827.73346,Other,Diseases of the nervous system
Total,2009,Total,Accidental falls,80816.25528,External causes of mortality,External causes of mortality
Male,2015,Total,Malignant neoplasms of pancreas,80806.39368,Neoplasms,Malignant neoplasms
Male,2020,Total,Certain infectious and parasitic diseases,80499.61618,Other,Other
Female,2008,Total,Alzheimer's disease,80496.19876,Other,Diseases of the nervous system
Male,2020,Total,Intentional self-harm,80195.34547,External causes of mortality,External causes of mortality
Male,2013,Total,Malignant neoplasms of pancreas,80017.47483,Neoplasms,Malignant neoplasms
Male,2016,Total,Malignant neoplasms of stomach,79886.28555,Neoplasms,Malignant neoplasms
Female,2011,Total,Certain infectious and parasitic diseases,79547.76272,Other,Other
Male,2012,Total,Malignant neoplasms of pancreas,79291.65578,Neoplasms,Malignant neoplasms
Female,2016,Total,Certain infectious and parasitic diseases,79274.1076,Other,Other
Total,2020,Total,Malignant neoplasms of stomach,79224.83468,Neoplasms,Malignant neoplasms
Female,2001,Total,Mental and behavioural disorders,79108.99696,Other,Other
Male,2000,Total,Mental and behavioural disorders,78940.69624,Other,Other
Female,2019,Total,"Malignant neoplasms of colon, rectum and anus",78452.20588,Neoplasms,Malignant neoplasms
Total,2017,Total,Parkinson's disease,78376.40291,Diseases of the circulatory system,Diseases of the circulatory system
Male,2020,Total,Alzheimer's disease,78127.27206,Other,Diseases of the nervous system
Male,2017,Total,Malignant neoplasms of pancreas,77983.47287,Neoplasms,Malignant neoplasms
Female,2009,Total,Certain infectious and parasitic diseases,77924.74479,Other,Other
Male,2013,Total,Alzheimer's disease,77757.35063,Other,Diseases of the nervous system
Female,2010,Total,Certain infectious and parasitic diseases,77746.44946,Other,Other
Male,2011,Total,Malignant neoplasms of pancreas,77699.39776,Neoplasms,Malignant neoplasms
Male,2014,Total,Malignant neoplasms of liver,77670.62465,Neoplasms,Malignant neoplasms
Male,2010,Total,Malignant neoplasms of pancreas,77637.40668,Neoplasms,Malignant neoplasms
Total,2002,Total,Accidental falls,77546.02162,External causes of mortality,External causes of mortality
Male,2018,Total,Alzheimer's disease,77404.71304,Other,Diseases of the nervous system
Total,2016,Total,Parkinson's disease,77214.25599,Diseases of the circulatory system,Diseases of the circulatory system
Male,2013,Total,Malignant neoplasms of liver,77194.72394,Neoplasms,Malignant neoplasms
Male,2012,Total,Malignant neoplasms of liver,77176.44892,Neoplasms,Malignant neoplasms
Male,2015,Total,Malignant neoplasms of liver,77113.25762,Neoplasms,Malignant neoplasms
Female,2000,Total,Diseases of the genitourinary system,76955.31674,Other,Other
Female,2018,Total,"Malignant neoplasms of colon, rectum and anus",76919.11645,Neoplasms,Malignant neoplasms
Male,2016,Total,Malignant neoplasms of liver,76827.69192,Neoplasms,Malignant neoplasms
Male,2009,Total,Malignant neoplasms of pancreas,76623.74008,Neoplasms,Malignant neoplasms
Male,2010,Total,Transport Accidents,76587.73993,External causes of mortality,External causes of mortality
Male,2010,Total,Malignant neoplasms of liver,76440.3666,Neoplasms,Malignant neoplasms
Male,2011,Total,Malignant neoplasms of liver,76231.12644,Neoplasms,Malignant neoplasms
Total,2003,Total,Accidental falls,75975.00148,External causes of mortality,External causes of mortality
Female,2008,Total,Certain infectious and parasitic diseases,75912.63534,Other,Other
Male,2009,Total,Malignant neoplasms of liver,75806.92305,Neoplasms,Malignant neoplasms
Total,2001,Total,Accidental falls,75540.3276,External causes of mortality,External causes of mortality
Female,2007,Total,Alzheimer's disease,75440.8869,Other,Diseases of the nervous system
Male,2012,Total,Alzheimer's disease,75414.0517,Other,Diseases of the nervous system
Total,2004,Total,Accidental falls,75303.65387,External causes of mortality,External causes of mortality
Female,2017,Total,Certain infectious and parasitic diseases,74949.95202,Other,Other
Total,2008,Total,Accidental falls,74893.50988,External causes of mortality,External causes of mortality
Male,2011,Total,Transport Accidents,74801.58517,External causes of mortality,External causes of mortality
Total,2013,Total,Leukemia,74736.29367,Neoplasms,Malignant neoplasms
Male,2016,Total,Transport Accidents,74715.05498,External causes of mortality,External causes of mortality
Female,2007,Total,Certain infectious and parasitic diseases,74658.16411,Other,Other
Male,2003,Total,Malignant neoplasms of liver,74493.35072,Neoplasms,Malignant neoplasms
Female,2005,Total,Dementia,74433.29984,Other,Mental and behavioural disorders
Total,2012,Total,Leukemia,74397.5366,Neoplasms,Malignant neoplasms
Total,2021,Total,Ischaemic heart diseases,74221.57599,Diseases of the circulatory system,Diseases of the circulatory system
Total,2020,Total,Transport Accidents,74159.67357,External causes of mortality,External causes of mortality
Total,2014,Total,Leukemia,74143.32535,Neoplasms,Malignant neoplasms
Total,2015,Total,Parkinson's disease,74042.14853,Diseases of the circulatory system,Diseases of the circulatory system
Total,2006,Total,Accidental falls,73802.13984,External causes of mortality,External causes of mortality
Male,2008,Total,Malignant neoplasms of liver,73723.27891,Neoplasms,Malignant neoplasms
Male,2012,Total,Transport Accidents,73705.55438,External causes of mortality,External causes of mortality
Male,2015,Total,Transport Accidents,73621.58754,External causes of mortality,External causes of mortality
Male,2007,Total,Dementia,73610.62771,Other,Mental and behavioural disorders
Total,2011,Total,Leukemia,73560.131,Neoplasms,Malignant neoplasms
Male,2004,Total,Malignant neoplasms of liver,73491.56238,Neoplasms,Malignant neoplasms
Male,2008,Total,Malignant neoplasms of pancreas,73458.65693,Neoplasms,Malignant neoplasms
Male,2019,Total,Malignant neoplasms of pancreas,73442.59755,Neoplasms,Malignant neoplasms
Total,2009,Total,Leukemia,73410.85706,Neoplasms,Malignant neoplasms
Total,2010,Total,Leukemia,73393.98481,Neoplasms,Malignant neoplasms
Total,2016,Total,Leukemia,73337.80288,Neoplasms,Malignant neoplasms
Male,2006,Total,Malignant neoplasms of liver,73233.71541,Neoplasms,Malignant neoplasms
Total,2007,Total,Accidental falls,73144.60539,External causes of mortality,External causes of mortality
Male,2007,Total,Malignant neoplasms of liver,72985.68983,Neoplasms,Malignant neoplasms
Total,2005,Total,Accidental falls,72890.78747,External causes of mortality,External causes of mortality
Total,2019,Total,Parkinson's disease,72858.14757,Diseases of the circulatory system,Diseases of the circulatory system
Total,2018,Total,Parkinson's disease,72678.22871,Diseases of the circulatory system,Diseases of the circulatory system
Female,2006,Total,Certain infectious and parasitic diseases,72497.05097,Other,Other
Total,2015,Total,Leukemia,72490.03118,Neoplasms,Malignant neoplasms
Male,2002,Total,Malignant neoplasms of liver,72462.78087,Neoplasms,Malignant neoplasms
Male,2013,Total,Transport Accidents,72445.29475,External causes of mortality,External causes of mortality
Total,2020,Total,Parkinson's disease,72441.24056,Diseases of the circulatory system,Diseases of the circulatory system
Female,2003,Total,Dementia,72354.42579,Other,Mental and behavioural disorders
Male,2007,Total,Malignant neoplasms of pancreas,72352.50872,Neoplasms,Malignant neoplasms
Male,2005,Total,Malignant neoplasms of liver,72148.51411,Neoplasms,Malignant neoplasms
Male,2014,Total,Transport Accidents,72091.83327,External causes of mortality,External causes of mortality
Total,2017,Total,Accidental poisoning,71999.58509,External causes of mortality,External causes of mortality
Female,2005,Total,Certain infectious and parasitic diseases,71644.48387,Other,Other
Female,2006,Total,Alzheimer's disease,71534.75243,Other,Diseases of the nervous system
Male,2011,Total,Alzheimer's disease,71425.10001,Other,Diseases of the nervous system
Total,2019,Total,Accidental poisoning,71404.67615,External causes of mortality,External causes of mortality
Female,2003,Total,Certain infectious and parasitic diseases,71275.11922,Other,Other
Male,2018,Total,Malignant neoplasms of pancreas,71251.19337,Neoplasms,Malignant neoplasms
Total,2000,Total,Accidental falls,71189.21975,External causes of mortality,External causes of mortality
Male,2017,Total,Malignant neoplasms of liver,70959.97084,Neoplasms,Malignant neoplasms
Total,2003,Total,Leukemia,70954.41673,Neoplasms,Malignant neoplasms
Female,2019,Total,Certain infectious and parasitic diseases,70749.79907,Other,Other
Total,2008,Total,Leukemia,70386.04902,Neoplasms,Malignant neoplasms
Male,2006,Total,Dementia,70362.06665,Other,Mental and behavioural disorders
Female,2004,Total,Dementia,70285.50014,Other,Mental and behavioural disorders
Male,2006,Total,Malignant neoplasms of pancreas,70257.40164,Neoplasms,Malignant neoplasms
Total,2002,Total,Leukemia,70244.78703,Neoplasms,Malignant neoplasms
Male,2001,Total,Malignant neoplasms of liver,70227.39233,Neoplasms,Malignant neoplasms
Male,2017,Total,Malignant neoplasms of stomach,70186.29855,Neoplasms,Malignant neoplasms
Total,2001,Total,Leukemia,70127.02049,Neoplasms,Malignant neoplasms
Total,2007,Total,Leukemia,70011.79261,Neoplasms,Malignant neoplasms
Female,2002,Total,Dementia,69957.64326,Other,Mental and behavioural disorders
Male,2000,Total,Malignant neoplasms of liver,69878.10731,Neoplasms,Malignant neoplasms
Female,2005,Total,Alzheimer's disease,69853.15251,Other,Diseases of the nervous system
Total,2014,Total,Parkinson's disease,69636.47438,Diseases of the circulatory system,Diseases of the circulatory system
Total,2004,Total,Leukemia,69591.11718,Neoplasms,Malignant neoplasms
Total,2006,Total,Leukemia,69497.30081,Neoplasms,Malignant neoplasms
Male,2010,Total,Alzheimer's disease,69300.93185,Other,Diseases of the nervous system
Female,2004,Total,Certain infectious and parasitic diseases,69270.49411,Other,Other
Male,2004,Total,Malignant neoplasms of pancreas,68944.98104,Neoplasms,Malignant neoplasms
Total,2018,Total,Accidental poisoning,68720.84707,External causes of mortality,External causes of mortality
Female,2002,Total,Certain infectious and parasitic diseases,68468.60654,Other,Other
Total,2017,Total,Leukemia,68412.19232,Neoplasms,Malignant neoplasms
Total,2005,Total,Leukemia,68211.13581,Neoplasms,Malignant neoplasms
Female,2020,Total,"Malignant neoplasms of colon, rectum and anus",68099.42376,Neoplasms,Malignant neoplasms
Female,2000,Total,Mental and behavioural disorders,68068.29161,Other,Other
Male,2005,Total,Malignant neoplasms of pancreas,68017.32869,Neoplasms,Malignant neoplasms
Total,2013,Total,Parkinson's disease,67957.07725,Diseases of the circulatory system,Diseases of the circulatory system
Male,2017,Total,Transport Accidents,67692.47592,External causes of mortality,External causes of mortality
Male,2003,Total,Malignant neoplasms of pancreas,67587.11319,Neoplasms,Malignant neoplasms
Male,2002,Total,Malignant neoplasms of pancreas,67414.92388,Neoplasms,Malignant neoplasms
Female,2001,Total,Certain infectious and parasitic diseases,66721.74129,Other,Other
Female,2003,Total,Alzheimer's disease,66695.28708,Other,Diseases of the nervous system
Female,2001,Total,Dementia,66646.37812,Other,Mental and behavioural disorders
Male,2001,Total,Malignant neoplasms of pancreas,66604.12047,Neoplasms,Malignant neoplasms
Male,2009,Total,Alzheimer's disease,66331.49301,Other,Diseases of the nervous system
Total,2000,Total,Leukemia,66289.77295,Neoplasms,Malignant neoplasms
Total,2016,Total,Accidental poisoning,66250.18051,External causes of mortality,External causes of mortality
Female,2004,Total,Alzheimer's disease,66241.32185,Other,Diseases of the nervous system
Female,2018,Total,Certain infectious and parasitic diseases,66096.53769,Other,Other
Male,2020,Total,Malignant neoplasms of pancreas,65868.52252,Neoplasms,Malignant neoplasms
Female,2016,Total,Malignant neoplasms of pancreas,65782.15004,Neoplasms,Malignant neoplasms
Total,2012,Total,Parkinson's disease,65261.37883,Diseases of the circulatory system,Diseases of the circulatory system
Male,2019,Total,Malignant neoplasms of stomach,65215.58259,Neoplasms,Malignant neoplasms
Female,2021,Total,Neoplasms,65174.77227,Neoplasms,Other
Female,2000,Total,Certain infectious and parasitic diseases,65151.09238,Other,Other
Female,2017,Total,Malignant neoplasms of pancreas,64173.29886,Neoplasms,Malignant neoplasms
Male,2019,Total,Transport Accidents,64023.45182,External causes of mortality,External causes of mortality
Female,2014,Total,Malignant neoplasms of pancreas,63763.57685,Neoplasms,Malignant neoplasms
Female,2015,Total,Malignant neoplasms of pancreas,63517.88362,Neoplasms,Malignant neoplasms
Male,2019,Total,Malignant neoplasms of liver,63370.42716,Neoplasms,Malignant neoplasms
Female,2021,Total,Malignant neoplasms,63004.91168,Neoplasms,Other
Male,2000,Total,Malignant neoplasms of pancreas,62859.00793,Neoplasms,Malignant neoplasms
Female,2013,Total,Malignant neoplasms of pancreas,62815.86889,Neoplasms,Malignant neoplasms
Male,2018,Total,Malignant neoplasms of stomach,62304.49197,Neoplasms,Malignant neoplasms
Male,2018,Total,Malignant neoplasms of liver,62236.35808,Neoplasms,Malignant neoplasms
Female,2012,Total,Malignant neoplasms of pancreas,62122.14619,Neoplasms,Malignant neoplasms
Male,2018,Total,Transport Accidents,61947.89677,External causes of mortality,External causes of mortality
Male,2020,Total,Accidental poisoning,61829.7284,External causes of mortality,External causes of mortality
Total,2019,Total,Leukemia,61677.86731,Neoplasms,Malignant neoplasms
Total,2011,Total,Parkinson's disease,61383.21199,Diseases of the circulatory system,Diseases of the circulatory system
Male,2008,Total,Alzheimer's disease,61202.56255,Other,Diseases of the nervous system
Total,2010,Total,Parkinson's disease,61137.25457,Diseases of the circulatory system,Diseases of the circulatory system
Female,2011,Total,Malignant neoplasms of pancreas,60653.21889,Neoplasms,Malignant neoplasms
Female,2010,Total,Malignant neoplasms of pancreas,60482.98502,Neoplasms,Malignant neoplasms
Total,2016,Total,Malignant neoplasms of bladder,60225.32415,Neoplasms,Malignant neoplasms
Total,2018,Total,Leukemia,60160.86159,Neoplasms,Malignant neoplasms
Male,2016,Total,Accidental falls,60158.79234,External causes of mortality,External causes of mortality
Total,2020,Total,Assault,59990.74993,External causes of mortality,External causes of mortality
Total,2021,Total,Codes for special purposes: COVID-19,59950.77757,Other,Other
Total,2013,Total,Malignant neoplasms of bladder,59737.55501,Neoplasms,Malignant neoplasms
Total,2014,Total,Malignant neoplasms of bladder,59592.1823,Neoplasms,Malignant neoplasms
Total,2012,Total,Malignant neoplasms of bladder,59349.66332,Neoplasms,Malignant neoplasms
Female,2009,Total,Malignant neoplasms of pancreas,59181.97918,Neoplasms,Malignant neoplasms
