Sex,Year,Source,Target,Mortality Type,Value,Cause
Total,2017,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",29037.9837,
Female,2010,Total,Cancers,Malignant neoplasms of pancreas,60482.98502,Malignant neoplasms of pancreas
Female,2011,Total,Cancers,Malignant neoplasms of pancreas,60653.21889,Malignant neoplasms of pancreas
Female,2012,Total,Cancers,Malignant neoplasms of pancreas,62122.14619,Malignant neoplasms of pancreas
Female,2013,Total,Cancers,Malignant neoplasms of pancreas,62815.86889,Malignant neoplasms of pancreas
Female,2014,Total,Cancers,Malignant neoplasms of pancreas,63763.57685,Malignant neoplasms of pancreas
Female,2015,Total,Cancers,Malignant neoplasms of pancreas,63517.88362,Malignant neoplasms of pancreas
Female,2016,Total,Cancers,Malignant neoplasms of pancreas,65782.15004,Malignant neoplasms of pancreas
Female,2017,Total,Cancers,Malignant neoplasms of pancreas,64173.29886,Malignant neoplasms of pancreas
Female,2018,Total,Cancers,Malignant neoplasms of pancreas,56405.94294,Malignant neoplasms of pancreas
Female,2019,Total,Cancers,Malignant neoplasms of pancreas,58236.47292,Malignant neoplasms of pancreas
Female,2020,Total,Cancers,Malignant neoplasms of pancreas,52951.373,Malignant neoplasms of pancreas
Female,2021,Total,Cancers,Malignant neoplasms of pancreas,5270.287723,Malignant neoplasms of pancreas
Total,2000,Total,Diseases of the Circulatory System,Cerebrovascular diseases,900280.904,
Total,2001,Total,Diseases of the Circulatory System,Cerebrovascular diseases,930337.7796,
Total,2002,Total,Diseases of the Circulatory System,Cerebrovascular diseases,916671.1538,
Total,2003,Total,Diseases of the Circulatory System,Cerebrovascular diseases,900651.3064,
Total,2004,Total,Diseases of the Circulatory System,Cerebrovascular diseases,822285.083,
Total,2005,Total,Diseases of the Circulatory System,Cerebrovascular diseases,773857.4988,
Total,2006,Total,Diseases of the Circulatory System,Cerebrovascular diseases,746812.4196,
Total,2007,Total,Diseases of the Circulatory System,Cerebrovascular diseases,734343.652,
Total,2008,Total,Diseases of the Circulatory System,Cerebrovascular diseases,715792.146,
Total,2009,Total,Diseases of the Circulatory System,Cerebrovascular diseases,742211.8642,
Total,2010,Total,Diseases of the Circulatory System,Cerebrovascular diseases,730578.4111,
Total,2012,Total,Diseases of the Circulatory System,Cerebrovascular diseases,678599.8783,
Total,2013,Total,Diseases of the Circulatory System,Cerebrovascular diseases,666621.7854,
Total,2014,Total,Diseases of the Circulatory System,Cerebrovascular diseases,650938.3472,
Total,2016,Total,Diseases of the Circulatory System,Cerebrovascular diseases,623962.3118,
Total,2017,Total,Diseases of the Circulatory System,Cerebrovascular diseases,548965.7344,
Total,2018,Total,Diseases of the Circulatory System,Cerebrovascular diseases,487382.0571,
Total,2019,Total,Diseases of the Circulatory System,Cerebrovascular diseases,517893.8853,
Male,2000,Total,Other,Diseases of the skin and subcutaneous tissue,7172.996548,
Male,2001,Total,Other,Diseases of the skin and subcutaneous tissue,7816.579372,
Male,2002,Total,Other,Diseases of the skin and subcutaneous tissue,7981.130041,
Male,2003,Total,Other,Diseases of the skin and subcutaneous tissue,7876.686549,
Male,2004,Total,Other,Diseases of the skin and subcutaneous tissue,7764.98395,
Male,2005,Total,Other,Diseases of the skin and subcutaneous tissue,7690.136472,
Male,2006,Total,Other,Diseases of the skin and subcutaneous tissue,8203.516434,
Male,2007,Total,Other,Diseases of the skin and subcutaneous tissue,8348.041416,
Male,2008,Total,Other,Diseases of the skin and subcutaneous tissue,8420.487021,
Male,2009,Total,Other,Diseases of the skin and subcutaneous tissue,8740.280519,
Male,2010,Total,Other,Diseases of the skin and subcutaneous tissue,8822.819465,
Male,2011,Total,Other,Diseases of the skin and subcutaneous tissue,8495.299449,
Male,2012,Total,Other,Diseases of the skin and subcutaneous tissue,8453.230154,
Male,2013,Total,Other,Diseases of the skin and subcutaneous tissue,8686.087499,
Male,2014,Total,Other,Diseases of the skin and subcutaneous tissue,9690.018104,
Male,2015,Total,Other,Diseases of the skin and subcutaneous tissue,9946.009016,
Male,2016,Total,Other,Diseases of the skin and subcutaneous tissue,9838.060643,
Male,2017,Total,Other,Diseases of the skin and subcutaneous tissue,10074.90153,
Male,2018,Total,Other,Diseases of the skin and subcutaneous tissue,10637.69195,
Male,2019,Total,Other,Diseases of the skin and subcutaneous tissue,10868.08945,
Female,2000,Total,Diseases of the Circulatory System,Cerebrovascular diseases,427245.4849,
Female,2001,Total,Diseases of the Circulatory System,Cerebrovascular diseases,441601.5662,
Female,2002,Total,Diseases of the Circulatory System,Cerebrovascular diseases,436133.6106,
Female,2003,Total,Diseases of the Circulatory System,Cerebrovascular diseases,428439.8739,
Female,2004,Total,Diseases of the Circulatory System,Cerebrovascular diseases,391399.9363,
Female,2005,Total,Diseases of the Circulatory System,Cerebrovascular diseases,369082.9548,
Female,2006,Total,Diseases of the Circulatory System,Cerebrovascular diseases,353323.789,
Female,2007,Total,Diseases of the Circulatory System,Cerebrovascular diseases,347537.4732,
Female,2008,Total,Diseases of the Circulatory System,Cerebrovascular diseases,338687.4369,
Female,2009,Total,Diseases of the Circulatory System,Cerebrovascular diseases,351126.4853,
Female,2010,Total,Diseases of the Circulatory System,Cerebrovascular diseases,347082.5827,
Female,2011,Total,Diseases of the Circulatory System,Cerebrovascular diseases,326061.3444,
Female,2012,Total,Diseases of the Circulatory System,Cerebrovascular diseases,321322.1063,
Female,2013,Total,Diseases of the Circulatory System,Cerebrovascular diseases,315696.3878,
Female,2014,Total,Diseases of the Circulatory System,Cerebrovascular diseases,310002.6297,
Female,2015,Total,Diseases of the Circulatory System,Cerebrovascular diseases,305954.9268,
Female,2016,Total,Diseases of the Circulatory System,Cerebrovascular diseases,296020.7849,
Female,2017,Total,Diseases of the Circulatory System,Cerebrovascular diseases,265685.8839,
Female,2018,Total,Diseases of the Circulatory System,Cerebrovascular diseases,229660.6738,
Female,2019,Total,Diseases of the Circulatory System,Cerebrovascular diseases,243233.9452,
Female,2020,Total,Diseases of the Circulatory System,Cerebrovascular diseases,207393.5204,
Female,2000,Total,External Causes,Intentional self-harm,26890.29248,
Female,2001,Total,External Causes,Intentional self-harm,27376.84662,
Female,2002,Total,External Causes,Intentional self-harm,28532.91059,
Female,2003,Total,External Causes,Intentional self-harm,29299.21853,
Female,2004,Total,External Causes,Intentional self-harm,29438.73783,
Female,2005,Total,External Causes,Intentional self-harm,29047.31502,
Female,2006,Total,External Causes,Intentional self-harm,28666.52118,
Female,2007,Total,External Causes,Intentional self-harm,29744.65419,
Female,2008,Total,External Causes,Intentional self-harm,30365.58403,
Female,2009,Total,External Causes,Intentional self-harm,31348.61437,
Female,2010,Total,External Causes,Intentional self-harm,31258.85162,
Female,2011,Total,External Causes,Intentional self-harm,31707.35115,
Female,2012,Total,External Causes,Intentional self-harm,30703.01476,
Female,2013,Total,External Causes,Intentional self-harm,31249.01658,
Female,2014,Total,External Causes,Intentional self-harm,31128.82813,
Female,2015,Total,External Causes,Intentional self-harm,30736.07732,
Female,2016,Total,External Causes,Intentional self-harm,29554.24121,
Female,2000,Total,Cancers,Malignant neoplasms of female breast,122510.5973,Malignant neoplasms of female breast
Female,2001,Total,Cancers,Malignant neoplasms of female breast,131919.8009,Malignant neoplasms of female breast
Female,2002,Total,Cancers,Malignant neoplasms of female breast,131541.3581,Malignant neoplasms of female breast
Female,2003,Total,Cancers,Malignant neoplasms of female breast,130912.9134,Malignant neoplasms of female breast
Female,2004,Total,Cancers,Malignant neoplasms of female breast,129133.7923,Malignant neoplasms of female breast
Female,2005,Total,Cancers,Malignant neoplasms of female breast,126021.0949,Malignant neoplasms of female breast
Female,2006,Total,Cancers,Malignant neoplasms of female breast,127516.16,Malignant neoplasms of female breast
Female,2007,Total,Cancers,Malignant neoplasms of female breast,127475.3194,Malignant neoplasms of female breast
Female,2008,Total,Cancers,Malignant neoplasms of female breast,128068.1689,Malignant neoplasms of female breast
Female,2009,Total,Cancers,Malignant neoplasms of female breast,130101.7369,Malignant neoplasms of female breast
Female,2010,Total,Cancers,Malignant neoplasms of female breast,130384.3713,Malignant neoplasms of female breast
Female,2011,Total,Cancers,Malignant neoplasms of female breast,129332.0173,Malignant neoplasms of female breast
Female,2012,Total,Cancers,Malignant neoplasms of female breast,128873.9631,Malignant neoplasms of female breast
Female,2013,Total,Cancers,Malignant neoplasms of female breast,129782.1999,Malignant neoplasms of female breast
Female,2014,Total,Cancers,Malignant neoplasms of female breast,129439.2859,Malignant neoplasms of female breast
Female,2015,Total,Cancers,Malignant neoplasms of female breast,128364.2352,Malignant neoplasms of female breast
Female,2016,Total,Cancers,Malignant neoplasms of female breast,130806.0585,Malignant neoplasms of female breast
Female,2017,Total,Cancers,Malignant neoplasms of female breast,127667.342,Malignant neoplasms of female breast
Female,2018,Total,Cancers,Malignant neoplasms of female breast,110123.6586,Malignant neoplasms of female breast
Female,2019,Total,Cancers,Malignant neoplasms of female breast,111142.5215,Malignant neoplasms of female breast
Female,2020,Total,Cancers,Malignant neoplasms of female breast,98870.1899,Malignant neoplasms of female breast
Female,2021,Total,Cancers,Malignant neoplasms of female breast,9643.918654,Malignant neoplasms of female breast
Male,2000,Total,Respiratory System,Pneumonia,191111.2286,
Male,2001,Total,Respiratory System,Pneumonia,194886.4495,
Male,2002,Total,Respiratory System,Pneumonia,195227.689,
Male,2003,Total,Respiratory System,Pneumonia,201062.9802,
Male,2004,Total,Respiratory System,Pneumonia,188988.8531,
Male,2005,Total,Respiratory System,Pneumonia,194136.9861,
Male,2006,Total,Respiratory System,Pneumonia,186304.7302,
Male,2007,Total,Respiratory System,Pneumonia,184949.7545,
Male,2008,Total,Respiratory System,Pneumonia,183674.7236,
Male,2009,Total,Respiratory System,Pneumonia,181420.4529,
Male,2010,Total,Respiratory System,Pneumonia,180508.6621,
Male,2011,Total,Respiratory System,Pneumonia,178875.89,
Male,2012,Total,Respiratory System,Pneumonia,181344.2407,
Male,2013,Total,Respiratory System,Pneumonia,184232.6613,
Male,2014,Total,Respiratory System,Pneumonia,180469.416,
Male,2015,Total,Respiratory System,Pneumonia,192053.541,
Male,2016,Total,Respiratory System,Pneumonia,189058.0649,
Male,2017,Total,Respiratory System,Pneumonia,163715.3038,
Male,2018,Total,Respiratory System,Pneumonia,165093.4918,
Male,2019,Total,Respiratory System,Pneumonia,179707.6724,
Male,2020,Total,Respiratory System,Pneumonia,166052.9318,
Female,2000,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",95964.07806,"Malignant neoplasms of colon, rectum and anus"
Female,2001,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",100609.8945,"Malignant neoplasms of colon, rectum and anus"
Female,2002,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",99945.04241,"Malignant neoplasms of colon, rectum and anus"
Female,2003,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",100361.3223,"Malignant neoplasms of colon, rectum and anus"
Female,2004,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",97317.27336,"Malignant neoplasms of colon, rectum and anus"
Female,2005,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",94468.22399,"Malignant neoplasms of colon, rectum and anus"
Female,2006,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",94389.37744,"Malignant neoplasms of colon, rectum and anus"
Female,2007,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",95480.93651,"Malignant neoplasms of colon, rectum and anus"
Female,2008,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",94861.80838,"Malignant neoplasms of colon, rectum and anus"
Female,2009,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",95337.3353,"Malignant neoplasms of colon, rectum and anus"
Female,2010,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",95698.72631,"Malignant neoplasms of colon, rectum and anus"
Female,2011,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",94909.64568,"Malignant neoplasms of colon, rectum and anus"
Female,2012,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",95474.61651,"Malignant neoplasms of colon, rectum and anus"
Female,2013,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",94817.24231,"Malignant neoplasms of colon, rectum and anus"
Female,2014,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",94112.45736,"Malignant neoplasms of colon, rectum and anus"
Female,2015,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",92949.23333,"Malignant neoplasms of colon, rectum and anus"
Female,2016,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",93594.75413,"Malignant neoplasms of colon, rectum and anus"
Female,2017,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",89663.19007,"Malignant neoplasms of colon, rectum and anus"
Female,2018,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",76919.11645,"Malignant neoplasms of colon, rectum and anus"
Female,2019,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",78452.20588,"Malignant neoplasms of colon, rectum and anus"
Female,2020,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",68099.42376,"Malignant neoplasms of colon, rectum and anus"
Male,2021,Total,Respiratory System,Asthma,378.225272,
Male,2000,Total,Cancers,Leukemia,42549.63395,Leukemia
Male,2001,Total,Cancers,Leukemia,45324.20876,Leukemia
Male,2002,Total,Cancers,Leukemia,45350.18277,Leukemia
Male,2003,Total,Cancers,Leukemia,45503.27768,Leukemia
Male,2004,Total,Cancers,Leukemia,44943.54564,Leukemia
Male,2005,Total,Cancers,Leukemia,43950.30001,Leukemia
Male,2006,Total,Cancers,Leukemia,44727.11457,Leukemia
Male,2007,Total,Cancers,Leukemia,45445.79551,Leukemia
Male,2008,Total,Cancers,Leukemia,45656.42595,Leukemia
Male,2009,Total,Cancers,Leukemia,47524.96502,Leukemia
Male,2010,Total,Cancers,Leukemia,47246.42745,Leukemia
Male,2011,Total,Cancers,Leukemia,47248.51679,Leukemia
Male,2012,Total,Cancers,Leukemia,48201.05746,Leukemia
Male,2013,Total,Cancers,Leukemia,48361.84782,Leukemia
Male,2014,Total,Cancers,Leukemia,47677.6888,Leukemia
Male,2015,Total,Cancers,Leukemia,46771.65359,Leukemia
Male,2016,Total,Cancers,Leukemia,46955.65909,Leukemia
Male,2017,Total,Cancers,Leukemia,43122.09432,Leukemia
Total,2000,Total,Other,Diseases of the blood and blood-forming organs,33173.74111,
Total,2001,Total,Other,Diseases of the blood and blood-forming organs,34236.52014,
Total,2002,Total,Other,Diseases of the blood and blood-forming organs,34765.50784,
Total,2003,Total,Other,Diseases of the blood and blood-forming organs,34562.65279,
Total,2004,Total,Other,Diseases of the blood and blood-forming organs,34006.7115,
Total,2005,Total,Other,Diseases of the blood and blood-forming organs,34221.55615,
Total,2006,Total,Other,Diseases of the blood and blood-forming organs,32232.3094,
Total,2007,Total,Other,Diseases of the blood and blood-forming organs,33451.20031,
Total,2008,Total,Other,Diseases of the blood and blood-forming organs,33681.82746,
Total,2009,Total,Other,Diseases of the blood and blood-forming organs,35408.15188,
Total,2010,Total,Other,Diseases of the blood and blood-forming organs,35402.70041,
Total,2011,Total,Other,Diseases of the blood and blood-forming organs,35102.68241,
Total,2012,Total,Other,Diseases of the blood and blood-forming organs,35112.9608,
Total,2013,Total,Other,Diseases of the blood and blood-forming organs,34858.5245,
Total,2014,Total,Other,Diseases of the blood and blood-forming organs,34655.70219,
Total,2015,Total,Other,Diseases of the blood and blood-forming organs,34667.49452,
Total,2016,Total,Other,Diseases of the blood and blood-forming organs,34303.17643,
Total,2017,Total,Other,Diseases of the blood and blood-forming organs,32657.08877,
Total,2018,Total,Other,Diseases of the blood and blood-forming organs,28800.58492,
Total,2019,Total,Other,Diseases of the blood and blood-forming organs,30079.47886,
Male,2009,Total,Other,Certain conditions originating in the perinatal period,18351.25404,
Male,2010,Total,Other,Certain conditions originating in the perinatal period,17371.00193,
Male,2011,Total,Other,Certain conditions originating in the perinatal period,16991.57375,
Male,2012,Total,Other,Certain conditions originating in the perinatal period,17524.41697,
Male,2013,Total,Other,Certain conditions originating in the perinatal period,17425.02925,
Male,2014,Total,Other,Certain conditions originating in the perinatal period,18077.0405,
Male,2015,Total,Other,Certain conditions originating in the perinatal period,17974.48351,
Male,2016,Total,Other,Certain conditions originating in the perinatal period,18342.15584,
Male,2019,Total,Other,Certain conditions originating in the perinatal period,15927.51745,
Female,2015,Total,External Causes,Transport Accidents,23663.87322,
Total,2000,Total,Other,Diseases of the skin and subcutaneous tissue,16393.01884,
Total,2001,Total,Other,Diseases of the skin and subcutaneous tissue,17927.42619,
Total,2002,Total,Other,Diseases of the skin and subcutaneous tissue,18382.60885,
Total,2003,Total,Other,Diseases of the skin and subcutaneous tissue,18207.48288,
Total,2004,Total,Other,Diseases of the skin and subcutaneous tissue,17866.39965,
Total,2005,Total,Other,Diseases of the skin and subcutaneous tissue,17885.71629,
Total,2006,Total,Other,Diseases of the skin and subcutaneous tissue,18427.73128,
Total,2007,Total,Other,Diseases of the skin and subcutaneous tissue,18616.45521,
Total,2008,Total,Other,Diseases of the skin and subcutaneous tissue,18594.57083,
Total,2009,Total,Other,Diseases of the skin and subcutaneous tissue,19206.88557,
Total,2010,Total,Other,Diseases of the skin and subcutaneous tissue,19282.78641,
Total,2011,Total,Other,Diseases of the skin and subcutaneous tissue,18576.06962,
Total,2012,Total,Other,Diseases of the skin and subcutaneous tissue,18766.60526,
Total,2013,Total,Other,Diseases of the skin and subcutaneous tissue,18693.6465,
Total,2014,Total,Other,Diseases of the skin and subcutaneous tissue,20966.56208,
Total,2015,Total,Other,Diseases of the skin and subcutaneous tissue,21583.95732,
Total,2016,Total,Other,Diseases of the skin and subcutaneous tissue,21336.13495,
Total,2017,Total,Other,Diseases of the skin and subcutaneous tissue,21898.84701,
Total,2018,Total,Other,Diseases of the skin and subcutaneous tissue,22326.25108,
Total,2019,Total,Other,Diseases of the skin and subcutaneous tissue,22620.9449,
Total,2020,Total,Other,Diseases of the skin and subcutaneous tissue,20444.22389,
Female,2000,Total,Other,Malignant neoplasms,823350.0266,
Female,2001,Total,Other,Malignant neoplasms,873922.1994,
Female,2002,Total,Other,Malignant neoplasms,874992.6212,
Female,2003,Total,Other,Malignant neoplasms,875242.5166,
Female,2004,Total,Other,Malignant neoplasms,864085.9085,
Female,2005,Total,Other,Malignant neoplasms,847267.9436,
Female,2006,Total,Other,Malignant neoplasms,857752.3196,
Female,2007,Total,Other,Malignant neoplasms,862826.2534,
Female,2008,Total,Other,Malignant neoplasms,863076.5985,
Female,2009,Total,Other,Malignant neoplasms,883987.0083,
Female,2010,Total,Other,Malignant neoplasms,888295.5366,
Female,2011,Total,Other,Malignant neoplasms,879526.3663,
Female,2012,Total,Other,Malignant neoplasms,885487.4105,
Female,2013,Total,Other,Malignant neoplasms,884297.5895,
Female,2014,Total,Other,Malignant neoplasms,887071.509,
Female,2015,Total,Other,Malignant neoplasms,872941.9307,
Female,2016,Total,Other,Malignant neoplasms,880570.912,
Female,2017,Total,Other,Malignant neoplasms,845958.091,
Female,2018,Total,Other,Malignant neoplasms,741565.861,
Female,2019,Total,Other,Malignant neoplasms,750018.2714,
Female,2020,Total,Other,Malignant neoplasms,664844.8681,
Male,2000,Total,Diseases of the Circulatory System,Acute myocardial infarction,457726.854,
Male,2001,Total,Diseases of the Circulatory System,Acute myocardial infarction,474394.2321,
Male,2002,Total,Diseases of the Circulatory System,Acute myocardial infarction,464438.4667,
Male,2003,Total,Diseases of the Circulatory System,Acute myocardial infarction,452865.7703,
Male,2004,Total,Diseases of the Circulatory System,Acute myocardial infarction,425589.3497,
Male,2005,Total,Diseases of the Circulatory System,Acute myocardial infarction,400893.559,
Male,2006,Total,Diseases of the Circulatory System,Acute myocardial infarction,395169.7611,
Male,2007,Total,Diseases of the Circulatory System,Acute myocardial infarction,377059.7292,
Male,2008,Total,Diseases of the Circulatory System,Acute myocardial infarction,371367.2148,
Male,2009,Total,Diseases of the Circulatory System,Acute myocardial infarction,389349.5244,
Male,2010,Total,Diseases of the Circulatory System,Acute myocardial infarction,384147.355,
Male,2011,Total,Diseases of the Circulatory System,Acute myocardial infarction,366233.8249,
Male,2012,Total,Diseases of the Circulatory System,Acute myocardial infarction,359166.545,
Male,2013,Total,Diseases of the Circulatory System,Acute myocardial infarction,367275.997,
Male,2014,Total,Diseases of the Circulatory System,Acute myocardial infarction,365026.0612,
Male,2015,Total,Diseases of the Circulatory System,Acute myocardial infarction,364951.6368,
Male,2016,Total,Diseases of the Circulatory System,Acute myocardial infarction,361211.1717,
Male,2017,Total,Diseases of the Circulatory System,Acute myocardial infarction,306846.9414,
Male,2018,Total,Diseases of the Circulatory System,Acute myocardial infarction,296542.5076,
Male,2019,Total,Diseases of the Circulatory System,Acute myocardial infarction,324671.5408,
Male,2020,Total,Diseases of the Circulatory System,Acute myocardial infarction,347576.4779,
Total,2000,Total,Cancers,Malignant neoplasms of liver,95008.30773,Malignant neoplasms of liver
Total,2001,Total,Cancers,Malignant neoplasms of liver,96351.27315,Malignant neoplasms of liver
Total,2002,Total,Cancers,Malignant neoplasms of liver,99111.39267,Malignant neoplasms of liver
Total,2003,Total,Cancers,Malignant neoplasms of liver,102512.4388,Malignant neoplasms of liver
Total,2004,Total,Cancers,Malignant neoplasms of liver,102044.3529,Malignant neoplasms of liver
Total,2005,Total,Cancers,Malignant neoplasms of liver,99394.35565,Malignant neoplasms of liver
Total,2006,Total,Cancers,Malignant neoplasms of liver,101092.434,Malignant neoplasms of liver
Total,2007,Total,Cancers,Malignant neoplasms of liver,100674.5809,Malignant neoplasms of liver
Total,2008,Total,Cancers,Malignant neoplasms of liver,101970.3112,Malignant neoplasms of liver
Total,2009,Total,Cancers,Malignant neoplasms of liver,105134.6978,Malignant neoplasms of liver
Total,2010,Total,Cancers,Malignant neoplasms of liver,106274.886,Malignant neoplasms of liver
Total,2011,Total,Cancers,Malignant neoplasms of liver,105471.6009,Malignant neoplasms of liver
Total,2012,Total,Cancers,Malignant neoplasms of liver,106835.6875,Malignant neoplasms of liver
Total,2013,Total,Cancers,Malignant neoplasms of liver,107539.6162,Malignant neoplasms of liver
Total,2014,Total,Cancers,Malignant neoplasms of liver,108440.4486,Malignant neoplasms of liver
Total,2015,Total,Cancers,Malignant neoplasms of liver,107375.3835,Malignant neoplasms of liver
Total,2016,Total,Cancers,Malignant neoplasms of liver,107762.5382,Malignant neoplasms of liver
Total,2017,Total,Cancers,Malignant neoplasms of liver,100822.63,Malignant neoplasms of liver
Total,2018,Total,Cancers,Malignant neoplasms of liver,88025.10968,Malignant neoplasms of liver
Total,2000,Total,Other,Certain conditions originating in the perinatal period,33243.07229,
Total,2001,Total,Other,Certain conditions originating in the perinatal period,33510.13185,
Total,2002,Total,Other,Certain conditions originating in the perinatal period,33740.06851,
Total,2003,Total,Other,Certain conditions originating in the perinatal period,33191.43981,
Total,2004,Total,Other,Certain conditions originating in the perinatal period,32964.65499,
Total,2005,Total,Other,Certain conditions originating in the perinatal period,33041.23546,
Total,2006,Total,Other,Certain conditions originating in the perinatal period,32235.92239,
Total,2007,Total,Other,Certain conditions originating in the perinatal period,32578.14363,
Total,2008,Total,Other,Certain conditions originating in the perinatal period,31922.00741,
Total,2009,Total,Other,Certain conditions originating in the perinatal period,34506.79674,
Total,2010,Total,Other,Certain conditions originating in the perinatal period,32488.43671,
Total,2011,Total,Other,Certain conditions originating in the perinatal period,31771.50913,
Total,2012,Total,Other,Certain conditions originating in the perinatal period,32903.59353,
Total,2013,Total,Other,Certain conditions originating in the perinatal period,32253.27618,
Total,2014,Total,Other,Certain conditions originating in the perinatal period,33832.25151,
Total,2015,Total,Other,Certain conditions originating in the perinatal period,33476.32903,
Total,2016,Total,Other,Certain conditions originating in the perinatal period,33885.55491,
Total,2017,Total,Other,Certain conditions originating in the perinatal period,29843.78392,
Total,2018,Total,Other,Certain conditions originating in the perinatal period,27970.05057,
Total,2019,Total,Other,Certain conditions originating in the perinatal period,29425.70021,
Total,2020,Total,Other,Certain conditions originating in the perinatal period,23035.181,
Total,2021,Total,Other,Certain conditions originating in the perinatal period,1448.158885,
Female,2004,Total,Respiratory System,Tuberculosis,5877.573585,
Female,2005,Total,Respiratory System,Tuberculosis,5841.827617,
Female,2006,Total,Respiratory System,Tuberculosis,5329.004713,
Female,2020,Total,Respiratory System,Tuberculosis,2353.667202,
Female,2021,Total,Respiratory System,Tuberculosis,91.71502,
Total,2000,Total,External Causes,Assault,49970.90928,
Total,2001,Total,External Causes,Assault,52426.4368,
Total,2002,Total,External Causes,Assault,51731.02418,
Total,2003,Total,External Causes,Assault,45632.36532,
Total,2004,Total,External Causes,Assault,44202.80622,
Total,2005,Total,External Causes,Assault,43305.59308,
Total,2006,Total,External Causes,Assault,41913.51961,
Total,2007,Total,External Causes,Assault,38511.95668,
Total,2008,Total,External Causes,Assault,42861.26107,
Total,2009,Total,External Causes,Assault,48030.04246,
Total,2010,Total,External Causes,Assault,51038.88313,
Total,2011,Total,External Causes,Assault,50483.1724,
Total,2012,Total,External Causes,Assault,48904.26703,
Total,2013,Total,External Causes,Assault,45663.87621,
Total,2014,Total,External Causes,Assault,42890.14866,
Total,2015,Total,External Causes,Assault,44072.97778,
Total,2016,Total,External Causes,Assault,48539.98237,
Total,2017,Total,External Causes,Assault,52671.91557,
Total,2000,Total,Other,Diseases of the digestive system,406897.9555,
Total,2001,Total,Other,Diseases of the digestive system,426701.7116,
Total,2002,Total,Other,Diseases of the digestive system,429284.657,
Total,2003,Total,Other,Diseases of the digestive system,431361.5386,
Total,2004,Total,Other,Diseases of the digestive system,419401.9821,
Total,2005,Total,Other,Diseases of the digestive system,414531.4783,
Total,2006,Total,Other,Diseases of the digestive system,415703.4012,
Total,2007,Total,Other,Diseases of the digestive system,419929.2236,
Total,2008,Total,Other,Diseases of the digestive system,422113.7909,
Total,2009,Total,Other,Diseases of the digestive system,426248.7785,
Total,2010,Total,Other,Diseases of the digestive system,426762.7717,
Total,2011,Total,Other,Diseases of the digestive system,416907.9332,
Total,2012,Total,Other,Diseases of the digestive system,419209.2276,
Total,2013,Total,Other,Diseases of the digestive system,418623.3674,
Total,2014,Total,Other,Diseases of the digestive system,414658.1587,
Total,2015,Total,Other,Diseases of the digestive system,417564.7871,
Total,2016,Total,Other,Diseases of the digestive system,424058.4192,
Total,2017,Total,Other,Diseases of the digestive system,406292.6414,
Total,2018,Total,Other,Diseases of the digestive system,380018.4993,
Total,2019,Total,Other,Diseases of the digestive system,389955.2054,
Total,2020,Total,Other,Diseases of the digestive system,369041.0124,
Total,2011,Total,Diseases of the Circulatory System,Cerebrovascular diseases,689084.7165,
Total,2015,Total,Diseases of the Circulatory System,Cerebrovascular diseases,644192.5493,
Total,2020,Total,Diseases of the Circulatory System,Cerebrovascular diseases,445987.5516,
Male,2000,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",139783.248,"Malignant neoplasms of colon, rectum and anus"
Male,2001,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",147305.8848,"Malignant neoplasms of colon, rectum and anus"
Male,2002,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",148147.5465,"Malignant neoplasms of colon, rectum and anus"
Male,2003,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",147464.3691,"Malignant neoplasms of colon, rectum and anus"
Male,2004,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",144300.9363,"Malignant neoplasms of colon, rectum and anus"
Male,2005,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",140408.6027,"Malignant neoplasms of colon, rectum and anus"
Male,2006,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",141819.5316,"Malignant neoplasms of colon, rectum and anus"
Male,2007,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",143032.7911,"Malignant neoplasms of colon, rectum and anus"
